question1,question2,question3,question4,question5,ideal_gift
"Reading","Movies","Yes","Pop","Yes","Kindle"
"Traveling","Outdoor","Yes","Rock","No","Travel Kit"
"Cooking","Crafting","No","Jazz","Yes","Cooking Kit"
"Fitness","Games","Yes","Classical","No","Fitness Tracker"
"DIY","Social","No","Pop","Yes","Art Supplies"
"Relaxing","Reading","Yes","Rock","No","Photo Album"
"Collecting","Outdoor","No","Jazz","Yes","Board Game"
"Surprises","Social","Yes","Pop","No","Luxury Pen"
"Fashion","Crafting","No","Rock","Yes","Customized Mug"
"Tech","Movies","Yes","Jazz","No","Smart Watch"
"Chess","Indoor","Yes","Classical","Yes","Chess Set"
"Gaming","Indoor","No","Rock","Yes","Gaming Chair"
"Video Games","Indoor","Yes","Pop","No","FIFA"
"Video Games","Indoor","Yes","Rock","No","Valorant"
"Sports","Outdoor","Yes","Jazz","No","Basketball"
"Traveling","Social","Yes","Rock","Yes","Travel Kit"
"Fitness","Outdoor","No","Jazz","Yes","Fitness Tracker"
"Cooking","Indoor","Yes","Pop","No","Cooking Kit"
"Reading","Outdoor","Yes","Classical","Yes","Kindle"
"Gaming","Indoor","No","Rock","Yes","Gaming Chair"
"Art","Social","Yes","Jazz","No","Art Supplies"
"Music","Outdoor","Yes","Pop","No","Wireless Headphones"
"Fashion","Indoor","No","Rock","Yes","Luxury Pen"
"Tech","Movies","Yes","Jazz","No","Smart Watch"
"Collecting","Indoor","Yes","Pop","No","Collectible Figurines"
"Outdoor","Social","Yes","Rock","Yes","Camping Gear"
"Creative","Indoor","No","Jazz","Yes","Crafting Kit"
"Fitness","Outdoor","Yes","Pop","No","Yoga Mat"
"Board Games","Indoor","Yes","Rock","No","Settlers of Catan"
"Electronics","Outdoor","Yes","Pop","No","Bluetooth Speaker"
"Books","Indoor","Yes","Jazz","No","Best-Selling Novel"
"Fashion","Outdoor","Yes","Rock","No","Stylish Sunglasses"
"Kitchen","Indoor","Yes","Pop","No","High-Quality Knife Set"
"Fitness","Indoor","Yes","Jazz","No","Resistance Bands"
"Art Supplies","Indoor","Yes","Rock","No","Watercolor Set"
"Gardening","Outdoor","Yes","Pop","No","Gardening Tools"
"Travel","Outdoor","Yes","Jazz","No","Travel Backpack"
"Tech Gadgets","Indoor","Yes","Rock","No","Smart Home Device"
"Sports Equipment","Outdoor","Yes","Pop","No","Tennis Racket"
"Video Games","Indoor","Yes","Jazz","No","Nintendo Switch"
"Collectibles","Indoor","Yes","Rock","No","Action Figures"
"Home Decor","Indoor","Yes","Pop","No","Wall Art"
"Subscription Boxes","Indoor","Yes","Jazz","No","Snack Subscription"
"Experiences","Outdoor","Yes","Rock","No","Concert Tickets"
"Fitness Gear","Outdoor","Yes","Pop","No","Running Shoes"
"Board Games","Indoor","Yes","Jazz","No","Codenames"
"Outdoor Gear","Outdoor","Yes","Rock","No","Hiking Boots"
"Craft Kits","Indoor","Yes","Pop","No","DIY Candle Making Kit"
"Cooking Gadgets","Indoor","Yes","Jazz","No","Instant Pot"
"Pet Supplies","Outdoor","Yes","Rock","No","Dog Bed"
"Fashion Accessories","Indoor","Yes","Pop","No","Stylish Watch"
"Home Appliances","Indoor","Yes","Jazz","No","Air Fryer"
"Gardening Kits","Outdoor","Yes","Rock","No","Herb Garden Kit"
"Fitness Classes","Outdoor","Yes","Pop","No","Yoga Class Pass"
"Art Prints","Indoor","Yes","Jazz","No","Framed Art Print"
"Tech Accessories","Indoor","Yes","Rock","No","Wireless Charger"
"Board Games","Indoor","Yes","Pop","No","Pandemic"
"Outdoor Games","Outdoor","Yes","Jazz","No","Cornhole Set"
"Books","Indoor","Yes","Rock","No","Cookbook"
"Fashion","Outdoor","Yes","Pop","No","Trendy Backpack"
"Kitchen Gadgets","Indoor","Yes","Jazz","No","Spiralizer"
"Fitness Equipment","Outdoor","Yes","Rock","No","Dumbbells"
"Craft Kits","Indoor","Yes","Pop","No","Knitting Kit"
"Pet Supplies","Outdoor","Yes","Rock","No","Cat Tree"
"Fashion Accessories","Indoor","Yes","Pop","No","Scarf"
"Home Appliances","Indoor","Yes","Rock","No","Coffee Maker"
"Gardening Kits","Outdoor","Yes","Pop","No","Flower Bulb Kit"
"Fitness Classes","Outdoor","Yes","Rock","No","Zumba Class Pass"
"Art Prints","Indoor","Yes","Pop","No","Poster Print"
"Tech Accessories","Indoor","Yes","Rock","No","Phone Case"
"Board Games","Indoor","Yes","Pop","No","Risk"
"Outdoor Gear","Outdoor","Yes","Rock","No","Fishing Rod"
"Creative Kits","Indoor","Yes","Pop","No","Painting Kit"
"Cooking Gadgets","Indoor","Yes","Rock","No","Meat Thermometer"
"Pet Supplies","Outdoor","Yes","Rock","No","Pet Carrier"
"Fashion","Outdoor","Yes","Pop","No","Flip Flops"
"Kitchen Appliances","Indoor","Yes","Rock","No","Toaster"
"Fitness Gear","Outdoor","Yes","Pop","No","Jump Rope"
"Craft Supplies","Indoor","Yes","Rock","No","Beading Kit"
"Travel Accessories","Outdoor","Yes","Pop","No","Travel Adapter"
"Home Improvement","Indoor","Yes","Rock","No","Tool Set"
"Subscription Services","Indoor","Yes","Pop","No","Streaming Service"
"Experiential Gifts","Outdoor","Yes","Rock","No","Cooking Class"
"Collectibles","Indoor","Yes","Rock","No","Vinyl Records"
"Outdoor Gear","Outdoor","Yes","Pop","No","Hiking Backpack"
"Tech Gadgets","Indoor","Yes","Rock","No","VR Headset"
"Fashion","Outdoor","Yes","Pop","No","Beach Towel"
"Kitchen Gadgets","Indoor","Yes","Rock","No","Food Steamer"
"Fitness Equipment","Outdoor","Yes","Pop","No","Balance Board"
"Craft Kits","Indoor","Yes","Rock","No","Pottery Kit"
"Pet Supplies","Outdoor","Yes","Rock","No","Pet Grooming Kit"
"Fashion Accessories","Indoor","Yes","Pop","No","Necklace"
"Home Appliances","Indoor","Yes","Rock","No","Rice Cooker"
"Gardening Tools","Outdoor","Yes","Pop","No","Garden Hoe"
"Travel Gear","Outdoor","Yes","Rock","No","Travel Journal"
"Home Decor","Indoor","Yes","Rock","No","Decorative Throw Pillows"
"Subscription Boxes","Indoor","Yes","Pop","No","Gourmet Box"
"Experiences","Outdoor","Yes","Rock","No","Adventure Tour"
"Fitness Classes","Outdoor","Yes","Rock","No","Martial Arts Class Pass"
"Art Prints","Indoor","Yes","Pop","No","Art Canvas"
"Tech Accessories","Indoor","Yes","Rock","No","Wireless Mouse"
"Board Games","Indoor","Yes","Pop","No","Monopoly"
"Outdoor Games","Outdoor","Yes","Rock","No","Spikeball"
"Books","Indoor","Yes","Pop","No","Fantasy Novel"
"Fashion","Outdoor","Yes","Rock","No","Summer Dress"
"Kitchen Gadgets","Indoor","Yes","Pop","No","Peeler"
"Fitness Equipment","Outdoor","Yes","Rock","No","Pilates Ring"
"Craft Kits","Indoor","Yes","Pop","No","Quilting Kit"
"Pet Supplies","Outdoor","Yes","Rock","No","Pet Toy"
"Fashion Accessories","Indoor","Yes","Pop","No","Bracelet"
"Home Appliances","Indoor","Yes","Rock","No","Electric Kettle"
"Gardening Kits","Outdoor","Yes","Pop","No","Vegetable Garden Kit"
"Fitness Classes","Outdoor","Yes","Rock","No","Kickboxing Class"
"Art Prints","Indoor","Yes","Pop","No","Canvas Print"
"Tech Accessories","Indoor","Yes","Rock","No","USB Hub"
"Board Games","Indoor","Yes","Pop","No","Risk"
"Outdoor Gear","Outdoor","Yes","Rock","No","Fishing Rod"
"Creative Kits","Indoor","Yes","Pop","No","Painting Kit"
"Cooking Gadgets","Indoor","Yes","Rock","No","Meat Thermometer"
"Pet Supplies","Outdoor","Yes","Rock","No","Pet Carrier"
"Fashion","Outdoor","Yes","Pop","No","Flip Flops"
"Kitchen Appliances","Indoor","Yes","Rock","No","Slow Cooker"
"Fitness Gear","Outdoor","Yes","Pop","No","Jump Rope"
"Craft Supplies","Indoor","Yes","Rock","No","Beading Kit"
"Travel Accessories","Outdoor","Yes","Pop","No","Travel Adapter"
"Home Improvement","Indoor","Yes","Rock","No","Tool Set"
"Subscription Services","Indoor","Yes","Pop","No","Online Course"
"Experiential Gifts","Outdoor","Yes","Rock","No","Cooking Class"
"PS5","Gaming","Yes","Pop","Yes","PS5"
"Xbox","Gaming","Yes","Rock","No","Xbox"
"Board Game","Indoor","Yes","Jazz","No","Board Game"
"Nintendo","Gaming","Yes","Pop","No","Nintendo"
"Chess Set","Indoor","Yes","Rock","No","Chess Set"
"Basketball","Outdoor","Yes","Jazz","No","Basketball"
"Pet Supplies","Outdoor","Yes","Rock","No","Pet Carrier"
"Fashion Accessories","Indoor","Yes","Pop","No","Earrings"
"Home Appliances","Indoor","Yes","Rock","No","Rice Cooker"
"Gardening Kits","Outdoor","Yes","Pop","No","Vegetable Garden Kit"
"Fitness Classes","Outdoor","Yes","Rock","No","Zumba Class Pass"
"Art Prints","Indoor","Yes","Pop","No","Art Canvas"
"Tech Accessories","Indoor","Yes","Rock","No","Smartphone Stand"
"Board Games","Indoor","Yes","Pop","No","Risk"
"Outdoor Gear","Outdoor","Yes","Rock","No","Camping Stove"
"Creative Kits","Indoor","Yes","Pop","No","Origami Kit"
"Cooking Gadgets","Indoor","Yes","Rock","No","Mandoline Slicer"
"Pet Supplies","Outdoor","Yes","Rock","No","Pet Food Bowl"
"Fashion","Outdoor","Yes","Pop","No","Flip Flops"
"Kitchen Appliances","Indoor","Yes","Rock","No","Slow Cooker"
"Fitness Gear","Outdoor","Yes","Pop","No","Fitness Mat"
"Craft Supplies","Indoor","Yes","Rock","No","Scrapbooking Supplies"
"Travel Accessories","Outdoor","Yes","Pop","No","Travel Adapter"
"Home Improvement","Indoor","Yes","Rock","No","Toolbox"
"Subscription Services","Indoor","Yes","Pop","No","Streaming Music"
"Experiential Gifts","Outdoor","Yes","Rock","No","Cooking Workshop"
"Collectibles","Indoor","Yes","Rock","No","Trading Cards"
"Outdoor Gear","Outdoor","Yes","Pop","No","Kayak"
"Tech Gadgets","Indoor","Yes","Rock","No","VR Headset"
"Fashion","Outdoor","Yes","Pop","No","Beach Hat"
"Kitchen Gadgets","Indoor","Yes","Rock","No","Food Steamer"
"Fitness Equipment","Outdoor","Yes","Pop","No","Balance Board"
"Craft Kits","Indoor","Yes","Rock","No","Pottery Kit"
"Pet Supplies","Outdoor","Yes","Rock","No","Pet Grooming Kit"
"Fashion Accessories","Indoor","Yes","Pop","No","Necklace"
"Home Appliances","Indoor","Yes","Rock","No","Blender"
"Gardening Tools","Outdoor","Yes","Pop","No","Garden Fork"
"Travel Gear","Outdoor","Yes","Rock","No","Travel Blanket"
"Home Decor","Indoor","Yes","Rock","No","Picture Frame"
"Subscription Boxes","Indoor","Yes","Pop","No","Beauty Box"
"Experiences","Outdoor","Yes","Rock","No","Surfing Lesson"
"Fitness Classes","Outdoor","Yes","Rock","No","Yoga Class"
"Art Prints","Indoor","Yes","Pop","No","Art Poster"
"Tech Accessories","Indoor","Yes","Rock","No","Wireless Mouse"
"Board Games","Indoor","Yes","Pop","No","Monopoly"
"Outdoor Games","Outdoor","Yes","Rock","No","Spikeball"
"Books","Indoor","Yes","Pop","No","Fantasy Novel"
"Fashion","Outdoor","Yes","Rock","No","Summer Dress"
"Kitchen Gadgets","Indoor","Yes","Pop","No","Peeler"
"Fitness Equipment","Outdoor","Yes","Rock","No","Pilates Ring"
"Craft Kits","Indoor","Yes","Pop","No","Quilting Kit"
"Pet Supplies","Outdoor","Yes","Rock","No","Pet Toy"
"Fashion Accessories","Indoor","Yes","Pop","No","Bracelet"
"Home Appliances","Indoor","Yes","Rock","No","Electric Mixer"
"Gardening Kits","Outdoor","Yes","Pop","No","Herb Planter"
"Fitness Classes","Outdoor","Yes","Rock","No","Kickboxing Class"
"Art Prints","Indoor","Yes","Pop","No","Canvas Print"
"Tech Accessories","Indoor","Yes","Rock","No","USB Hub"
"Board Games","Indoor","Yes","Pop","No","Clue"
"Outdoor Gear","Outdoor","Yes","Rock","No","Hiking Poles"
"Creative Kits","Indoor","Yes","Pop","No","Calligraphy Kit"
"Cooking Gadgets","Indoor","Yes","Rock","No","Meat Thermometer"
"Pet Supplies","Outdoor","Yes","Rock","No","Pet Carrier Backpack"
"Fashion","Outdoor","Yes","Pop","No","Winter Coat"
"Kitchen Appliances","Indoor","Yes","Rock","No","Electric Griddle"
"Fitness Gear","Outdoor","Yes","Pop","No","Foam Roller"
"Craft Supplies","Indoor","Yes","Rock","No","Painting Supplies"
"Travel Accessories","Outdoor","Yes","Pop","No","Travel Backpack"
"Home Improvement","Indoor","Yes","Rock","No","Ladder"
"Subscription Services","Indoor","Yes","Pop","No","Online Course"
"Experiential Gifts","Outdoor","Yes","Rock","No","Skydiving Experience"
"Collectibles","Indoor","Yes","Rock","No","Stamps"
"Outdoor Gear","Outdoor","Yes","Pop","No","Bicycle"
"Tech Gadgets","Indoor","Yes","Rock","No","Smart Speaker"
"Fashion","Outdoor","Yes","Pop","No","Windbreaker"
"Kitchen Gadgets","Indoor","Yes","Rock","No","Salad Spinner"
"Fitness Equipment","Outdoor","Yes","Pop","No","Kettlebell"
"Craft Kits","Indoor","Yes","Rock","No","Sewing Kit"
"Pet Supplies","Outdoor","Yes","Rock","No","Dog Harness"
"Fashion Accessories","Indoor","Yes","Pop","No","Hat"
"Home Appliances","Indoor","Yes","Rock","No","Toaster Oven"
"Gardening Tools","Outdoor","Yes","Pop","No","Garden Hoe"
